document_id,method,judge,clarity,informativeness,orig_clarity,orig_informativeness,human_clarity,human_informativeness,paragraph_type,model_name,delta_clarity,delta_informativeness
02141d01a5d94a1a,lit_informed_tight,gemini-2.0-flash,85,55,90.0,45.0,90.0,71.3,model,deepseek/deepseek-chat-v3-0324,-5.0,10.0
02141d01a5d94a1a,lit_informed_tight,llama-3.3-70b,95,60,95.0,60.0,90.0,71.3,model,deepseek/deepseek-chat-v3-0324,0.0,0.0
02141d01a5d94a1a,naive_tight,gemini-2.0-flash,90,55,90.0,45.0,90.0,71.3,model,deepseek/deepseek-chat-v3-0324,0.0,10.0
02141d01a5d94a1a,naive_tight,llama-3.3-70b,98,70,95.0,60.0,90.0,71.3,model,deepseek/deepseek-chat-v3-0324,3.0,10.0
057ff2c32392f26f,lit_informed_tight,gemini-2.0-flash,85,70,85.0,70.0,88.4,77.5,model,anthropic/claude-sonnet-4,0.0,0.0
057ff2c32392f26f,lit_informed_tight,llama-3.3-70b,90,75,95.0,80.0,88.4,77.5,model,anthropic/claude-sonnet-4,-5.0,-5.0
057ff2c32392f26f,naive_tight,gemini-2.0-flash,85,70,85.0,70.0,88.4,77.5,model,anthropic/claude-sonnet-4,0.0,0.0
057ff2c32392f26f,naive_tight,llama-3.3-70b,95,81,95.0,80.0,88.4,77.5,model,anthropic/claude-sonnet-4,0.0,1.0
05b82240f4d1c794,lit_informed_tight,gemini-2.0-flash,85,65,68.0,65.0,57.9,51.5,writer,,17.0,0.0
05b82240f4d1c794,lit_informed_tight,llama-3.3-70b,90,78,70.0,65.0,57.9,51.5,writer,,20.0,13.0
05b82240f4d1c794,naive_tight,gemini-2.0-flash,85,70,68.0,65.0,57.9,51.5,writer,,17.0,5.0
05b82240f4d1c794,naive_tight,llama-3.3-70b,90,80,70.0,65.0,57.9,51.5,writer,,20.0,15.0
0af4104b11b4049c,lit_informed_tight,gemini-2.0-flash,85,65,85.0,55.0,80.66666666666667,58.55555555555556,model,deepseek/deepseek-chat-v3-0324,0.0,10.0
0af4104b11b4049c,lit_informed_tight,llama-3.3-70b,95,80,90.0,80.0,80.66666666666667,58.55555555555556,model,deepseek/deepseek-chat-v3-0324,5.0,0.0
0af4104b11b4049c,naive_tight,gemini-2.0-flash,85,65,85.0,55.0,80.66666666666667,58.55555555555556,model,deepseek/deepseek-chat-v3-0324,0.0,10.0
0af4104b11b4049c,naive_tight,llama-3.3-70b,95,82,90.0,80.0,80.66666666666667,58.55555555555556,model,deepseek/deepseek-chat-v3-0324,5.0,2.0
0b52420f9d02601b,lit_informed_tight,gemini-2.0-flash,90,55,65.0,35.0,84.22222222222223,31.77777777777778,writer,,25.0,20.0
0b52420f9d02601b,lit_informed_tight,llama-3.3-70b,90,73,80.0,50.0,84.22222222222223,31.77777777777778,writer,,10.0,23.0
0b52420f9d02601b,naive_tight,gemini-2.0-flash,85,55,65.0,35.0,84.22222222222223,31.77777777777778,writer,,20.0,20.0
0b52420f9d02601b,naive_tight,llama-3.3-70b,95,81,80.0,50.0,84.22222222222223,31.77777777777778,writer,,15.0,31.0
0c326c91d31f64c0,lit_informed_tight,gemini-2.0-flash,85,55,85.0,65.0,79.88888888888889,65.88888888888889,edited,deepseek/deepseek-chat-v3-0324,0.0,-10.0
0c326c91d31f64c0,lit_informed_tight,llama-3.3-70b,95,60,95.0,73.0,79.88888888888889,65.88888888888889,edited,deepseek/deepseek-chat-v3-0324,0.0,-13.0
0c326c91d31f64c0,naive_tight,gemini-2.0-flash,85,65,85.0,65.0,79.88888888888889,65.88888888888889,edited,deepseek/deepseek-chat-v3-0324,0.0,0.0
0c326c91d31f64c0,naive_tight,llama-3.3-70b,90,60,95.0,73.0,79.88888888888889,65.88888888888889,edited,deepseek/deepseek-chat-v3-0324,-5.0,-13.0
0df1701d0efb7215,lit_informed_tight,gemini-2.0-flash,85,55,85.0,55.0,70.2,61.9,model,openai/chatgpt-4o-latest,0.0,0.0
0df1701d0efb7215,lit_informed_tight,llama-3.3-70b,90,65,90.0,65.0,70.2,61.9,model,openai/chatgpt-4o-latest,0.0,0.0
0df1701d0efb7215,naive_tight,gemini-2.0-flash,68,55,85.0,55.0,70.2,61.9,model,openai/chatgpt-4o-latest,-17.0,0.0
0df1701d0efb7215,naive_tight,llama-3.3-70b,90,70,90.0,65.0,70.2,61.9,model,openai/chatgpt-4o-latest,0.0,5.0
0e3086495099ef4a,lit_informed_tight,gemini-2.0-flash,85,65,85.0,55.0,81.2,60.4,edited,anthropic/claude-sonnet-4,0.0,10.0
0e3086495099ef4a,lit_informed_tight,llama-3.3-70b,95,73,95.0,75.0,81.2,60.4,edited,anthropic/claude-sonnet-4,0.0,-2.0
0e3086495099ef4a,naive_tight,gemini-2.0-flash,85,65,85.0,55.0,81.2,60.4,edited,anthropic/claude-sonnet-4,0.0,10.0
0e3086495099ef4a,naive_tight,llama-3.3-70b,95,75,95.0,75.0,81.2,60.4,edited,anthropic/claude-sonnet-4,0.0,0.0
0fff5b7448db9135,lit_informed_tight,gemini-2.0-flash,85,65,85.0,65.0,81.6,72.5,model,anthropic/claude-sonnet-4,0.0,0.0
0fff5b7448db9135,lit_informed_tight,llama-3.3-70b,95,90,95.0,85.0,81.6,72.5,model,anthropic/claude-sonnet-4,0.0,5.0
0fff5b7448db9135,naive_tight,gemini-2.0-flash,85,70,85.0,65.0,81.6,72.5,model,anthropic/claude-sonnet-4,0.0,5.0
0fff5b7448db9135,naive_tight,llama-3.3-70b,95,90,95.0,85.0,81.6,72.5,model,anthropic/claude-sonnet-4,0.0,5.0
18885f756f75d889,lit_informed_tight,gemini-2.0-flash,85,55,75.0,55.0,90.0,71.2,edited,anthropic/claude-sonnet-4,10.0,0.0
18885f756f75d889,lit_informed_tight,llama-3.3-70b,95,81,70.0,60.0,90.0,71.2,edited,anthropic/claude-sonnet-4,25.0,21.0
18885f756f75d889,naive_tight,gemini-2.0-flash,85,65,75.0,55.0,90.0,71.2,edited,anthropic/claude-sonnet-4,10.0,10.0
18885f756f75d889,naive_tight,llama-3.3-70b,90,70,70.0,60.0,90.0,71.2,edited,anthropic/claude-sonnet-4,20.0,10.0
