document_id,paragraph_type,model_name,judge,clarity,informativeness,human_clarity,human_informativeness,n_ratings
56e222895cca8876,writer,,gemini-2.0-flash,75.0,65.0,79.18181818181819,80.81818181818181,11
56e222895cca8876,writer,,llama-3.3-70b,85.0,80.0,79.18181818181819,80.81818181818181,11
23e8297a309ee77c,writer,,gemini-2.0-flash,65.0,55.0,78.9,68.0,10
23e8297a309ee77c,writer,,llama-3.3-70b,80.0,30.0,78.9,68.0,10
deb569ccc8461119,writer,,gemini-2.0-flash,25.0,25.0,66.5,24.3,10
deb569ccc8461119,writer,,llama-3.3-70b,10.0,10.0,66.5,24.3,10
f062daa23bd230a2,writer,,gemini-2.0-flash,55.0,45.0,77.3,39.1,10
f062daa23bd230a2,writer,,llama-3.3-70b,55.0,40.0,77.3,39.1,10
53c07216abbdcadc,writer,,gemini-2.0-flash,55.0,55.0,62.6,46.4,10
53c07216abbdcadc,writer,,llama-3.3-70b,55.0,41.0,62.6,46.4,10
8c0c2ad7b42a56f6,writer,,gemini-2.0-flash,55.0,35.0,64.8,41.0,10
8c0c2ad7b42a56f6,writer,,llama-3.3-70b,70.0,30.0,64.8,41.0,10
7796e5f42bd4330f,writer,,gemini-2.0-flash,55.0,55.0,77.0,28.555555555555557,9
7796e5f42bd4330f,writer,,llama-3.3-70b,55.0,30.0,77.0,28.555555555555557,9
d98dcc3f3971b973,writer,,gemini-2.0-flash,55.0,45.0,79.6,59.7,10
d98dcc3f3971b973,writer,,llama-3.3-70b,55.0,50.0,79.6,59.7,10
be6e40b67777557a,writer,,gemini-2.0-flash,55.0,55.0,84.63636363636364,53.36363636363637,11
be6e40b67777557a,writer,,llama-3.3-70b,50.0,40.0,84.63636363636364,53.36363636363637,11
7ea00af60e5888aa,writer,,gemini-2.0-flash,65.0,70.0,82.33333333333333,68.22222222222223,9
7ea00af60e5888aa,writer,,llama-3.3-70b,75.0,73.0,82.33333333333333,68.22222222222223,9
e5913581d138e0af,writer,,gemini-2.0-flash,55.0,0.0,56.18181818181818,8.090909090909092,11
e5913581d138e0af,writer,,llama-3.3-70b,41.0,0.0,56.18181818181818,8.090909090909092,11
ea89d3f6c707c4f2,writer,,gemini-2.0-flash,55.0,30.0,70.4,32.0,10
ea89d3f6c707c4f2,writer,,llama-3.3-70b,65.0,30.0,70.4,32.0,10
3a877707ef699ad8,writer,,gemini-2.0-flash,55.0,45.0,53.18181818181818,44.27272727272727,11
3a877707ef699ad8,writer,,llama-3.3-70b,55.0,40.0,53.18181818181818,44.27272727272727,11
56e7bc17557e65d4,writer,,gemini-2.0-flash,72.0,55.0,84.1,30.0,10
56e7bc17557e65d4,writer,,llama-3.3-70b,75.0,41.0,84.1,30.0,10
39c9aabaa3691cdf,writer,,gemini-2.0-flash,55.0,45.0,68.88888888888889,25.444444444444443,9
39c9aabaa3691cdf,writer,,llama-3.3-70b,55.0,40.0,68.88888888888889,25.444444444444443,9
97ce6224773e4e9c,writer,,gemini-2.0-flash,55.0,65.0,63.6,51.5,10
97ce6224773e4e9c,writer,,llama-3.3-70b,30.0,73.0,63.6,51.5,10
785f402aca89fd9c,writer,,gemini-2.0-flash,55.0,55.0,66.11111111111111,47.111111111111114,9
785f402aca89fd9c,writer,,llama-3.3-70b,58.0,61.0,66.11111111111111,47.111111111111114,9
27e507b51ce41519,writer,,gemini-2.0-flash,65.0,45.0,42.333333333333336,29.555555555555557,9
27e507b51ce41519,writer,,llama-3.3-70b,70.0,41.0,42.333333333333336,29.555555555555557,9
d07b6f3b8a8a72cd,writer,,gemini-2.0-flash,35.0,55.0,73.66666666666667,53.55555555555556,9
d07b6f3b8a8a72cd,writer,,llama-3.3-70b,55.0,50.0,73.66666666666667,53.55555555555556,9
6c0b59ec4b0efc29,writer,,gemini-2.0-flash,55.0,35.0,46.0,36.7,10
6c0b59ec4b0efc29,writer,,llama-3.3-70b,50.0,20.0,46.0,36.7,10
1ed146b9ef31eb78,writer,,gemini-2.0-flash,55.0,45.0,69.25,36.583333333333336,12
1ed146b9ef31eb78,writer,,llama-3.3-70b,50.0,40.0,69.25,36.583333333333336,12
1a8101de41fd831e,writer,,gemini-2.0-flash,65.0,45.0,65.3,31.8,10
1a8101de41fd831e,writer,,llama-3.3-70b,55.0,40.0,65.3,31.8,10
a1ece933e1df45e2,writer,,gemini-2.0-flash,55.0,30.0,64.0,36.8,10
a1ece933e1df45e2,writer,,llama-3.3-70b,55.0,20.0,64.0,36.8,10
525eb53e6a381dff,writer,,gemini-2.0-flash,68.0,55.0,65.7,35.0,10
525eb53e6a381dff,writer,,llama-3.3-70b,,50.0,65.7,35.0,10
8b1e2e7c9b7a1655,writer,,gemini-2.0-flash,55.0,25.0,42.6,12.8,10
8b1e2e7c9b7a1655,writer,,llama-3.3-70b,40.0,20.0,42.6,12.8,10
87c3ff5e4470dd8d,writer,,gemini-2.0-flash,45.0,35.0,80.22222222222223,18.444444444444443,9
87c3ff5e4470dd8d,writer,,llama-3.3-70b,30.0,50.0,80.22222222222223,18.444444444444443,9
cd35ed2d33f6a2b1,writer,,gemini-2.0-flash,48.0,55.0,66.7,51.3,10
cd35ed2d33f6a2b1,writer,,llama-3.3-70b,30.0,55.0,66.7,51.3,10
899a7e76dd44a665,writer,,gemini-2.0-flash,65.0,35.0,85.44444444444444,24.22222222222222,9
899a7e76dd44a665,writer,,llama-3.3-70b,80.0,30.0,85.44444444444444,24.22222222222222,9
bef9bf3d329cffa0,writer,,gemini-2.0-flash,65.0,65.0,78.66666666666667,49.666666666666664,9
bef9bf3d329cffa0,writer,,llama-3.3-70b,77.0,81.0,78.66666666666667,49.666666666666664,9
9c8dead7eacd36f9,writer,,gemini-2.0-flash,55.0,35.0,76.77777777777777,32.77777777777778,9
9c8dead7eacd36f9,writer,,llama-3.3-70b,40.0,20.0,76.77777777777777,32.77777777777778,9
3e096f139af7e469,writer,,gemini-2.0-flash,55.0,55.0,76.81818181818181,48.45454545454545,11
3e096f139af7e469,writer,,llama-3.3-70b,55.0,41.0,76.81818181818181,48.45454545454545,11
c460fb478f404236,writer,,gemini-2.0-flash,55.0,45.0,58.6,21.7,10
c460fb478f404236,writer,,llama-3.3-70b,55.0,50.0,58.6,21.7,10
724e2f1cbb6e662b,writer,,gemini-2.0-flash,65.0,45.0,80.4,52.1,10
724e2f1cbb6e662b,writer,,llama-3.3-70b,70.0,41.0,80.4,52.1,10
d32e792227a65530,writer,,gemini-2.0-flash,45.0,45.0,82.88888888888889,50.888888888888886,9
d32e792227a65530,writer,,llama-3.3-70b,40.0,40.0,82.88888888888889,50.888888888888886,9
